dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.603406,14.284000,0.003750,0.150000,3.000000,60.000000,0.000232
0.050000,1.613740,14.284006,0.014084,0.206689,1.133787,-37.324269,0.000945
0.050000,1.630931,14.284033,0.031275,0.343820,2.742617,32.176600,0.002159
0.050000,1.654929,14.284106,0.055273,0.479949,2.722568,-0.400971,0.003914
0.050000,1.685661,14.284262,0.086006,0.614654,2.694112,-0.569130,0.006264
0.050000,1.723035,14.284552,0.123380,0.747495,2.656824,-0.745754,0.009282
0.050000,1.766932,14.285041,0.167280,0.878001,2.610110,-0.934283,0.013059
0.050000,1.817209,14.285813,0.217563,1.005659,2.553162,-1.138953,0.017706
0.050000,1.873692,14.286971,0.274059,1.129904,2.484911,-1.365026,0.023356
0.050000,1.936175,14.288640,0.336564,1.250102,2.403959,-1.619024,0.030167
0.050000,2.004412,14.290974,0.404840,1.365528,2.308510,-1.908992,0.038324
0.050000,2.078110,14.294152,0.478607,1.475342,2.196273,-2.244742,0.048045
0.050000,2.156925,14.298390,0.557535,1.578560,2.064370,-2.638046,0.059589
0.050000,2.240442,14.303934,0.641236,1.674022,1.909238,-3.102649,0.073256
0.050000,2.328169,14.311071,0.729254,1.760349,1.726545,-3.653865,0.089402
0.050000,2.419518,14.320118,0.821049,1.835908,1.511179,-4.307319,0.108446
0.050000,2.513781,14.331428,0.915988,1.898777,1.257380,-5.075978,0.130883
0.050000,2.610113,14.345375,1.013325,1.946736,0.959181,-5.963972,0.157293
0.050000,2.707512,14.362338,1.112190,1.977309,0.611447,-6.954687,0.188353
0.050000,2.804804,14.382680,1.211586,1.987908,0.211987,-7.989194,0.224840
0.050000,2.898392,14.406089,1.308057,1.929428,-1.169600,-27.631742,0.266523
0.050000,2.985272,14.431921,1.398696,1.812780,-2.332963,-23.267263,0.312748
0.050000,3.065129,14.459945,1.483327,1.692625,-2.403101,-1.402764,0.363651
0.050000,3.137837,14.489892,1.561961,1.572681,-2.398874,0.084546,0.419224
0.050000,3.203533,14.521506,1.634868,1.458131,-2.290992,2.157646,0.479257
0.050000,3.262661,14.554626,1.702640,1.355441,-2.053813,4.743572,0.543289
0.050000,3.315975,14.589280,1.766227,1.271740,-1.674010,7.596050,0.610579
0.050000,3.364470,14.625766,1.826915,1.213760,-1.159613,10.287957,0.680128
0.050000,3.409253,14.664676,1.886240,1.186508,-0.545035,12.291553,0.750737
0.050000,3.451371,14.706854,1.945846,1.192120,0.112243,13.145568,0.821127
0.050000,3.491660,14.753276,2.007313,1.229329,0.744188,12.638882,0.890069
0.050000,3.530651,14.804894,2.072003,1.293796,1.289341,10.903068,0.956501
0.050000,3.568561,14.862495,2.140960,1.379145,1.706977,8.352718,1.019609
0.050000,3.605344,14.926607,2.214874,1.478279,1.982667,5.513812,1.078858
0.050000,3.640780,14.997466,2.294100,1.584525,2.124920,2.845052,1.133970
