dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.604002,11.716000,0.003750,0.150000,3.000000,60.000000,0.000232
0.050000,1.616168,11.716008,0.015916,0.243311,1.866213,-22.675735,0.000945
0.050000,1.636477,11.716039,0.036225,0.406180,3.257383,27.823389,0.002159
0.050000,1.664979,11.716126,0.064727,0.570051,3.277430,0.400951,0.003914
0.050000,1.701746,11.716312,0.101494,0.735346,3.305885,0.569094,0.006264
0.050000,1.746870,11.716662,0.146620,0.902504,3.343170,0.745699,0.009282
0.050000,1.800467,11.717260,0.200219,1.071998,3.389880,0.934196,0.013059
0.050000,1.862676,11.718216,0.262436,1.244339,3.446821,1.138820,0.017706
0.050000,1.933666,11.719671,0.333441,1.420092,3.515062,1.364825,0.023356
0.050000,2.013632,11.721809,0.413436,1.599892,3.595998,1.618725,0.030167
0.050000,2.102803,11.724859,0.502659,1.784463,3.691426,1.908549,0.038324
0.050000,2.201443,11.729116,0.601391,1.974645,3.803630,2.244090,0.048045
0.050000,2.309858,11.734948,0.709962,2.171419,3.935485,2.637095,0.059589
0.050000,2.428394,11.742822,0.828759,2.375947,4.090548,3.101263,0.073256
0.050000,2.557447,11.753326,0.958240,2.589604,4.273141,3.651853,0.089402
0.050000,2.697462,11.767204,1.098941,2.814022,4.488361,4.304404,0.108446
0.050000,2.848930,11.785393,1.251497,3.051119,4.741949,5.071763,0.130883
0.050000,3.012378,11.809077,1.416652,3.303111,5.039844,5.957898,0.157293
0.050000,3.188347,11.839756,1.595276,3.572468,5.387143,6.945982,0.188353
0.050000,3.377340,11.879317,1.788364,3.861768,5.785985,7.976836,0.224840
0.050000,3.574749,11.928759,1.991871,4.070138,4.167403,-32.371645,0.266523
0.050000,3.775381,11.988490,2.201205,4.186686,2.330967,-36.728718,0.312748
0.050000,3.978539,12.059881,2.416541,4.306728,2.400829,1.397242,0.363651
0.050000,4.183147,12.144268,2.637869,4.426547,2.396387,-0.088845,0.419224
0.050000,4.387690,12.242823,2.864917,4.540967,2.288412,-2.159500,0.479257
0.050000,4.590199,12.356384,3.097094,4.643534,2.051330,-4.741636,0.543289
0.050000,4.788318,12.485277,3.333450,4.727127,1.671867,-7.589253,0.610579
