dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.603497,24.284000,0.003750,0.150000,3.000000,60.000000,0.000025
0.050000,1.614644,24.284001,0.014896,0.222922,1.458439,-30.831217,0.000106
0.050000,1.633221,24.284004,0.033474,0.371552,2.972600,30.283220,0.000241
0.050000,1.659231,24.284013,0.059484,0.520205,2.973061,0.009220,0.000427
0.050000,1.692676,24.284031,0.092928,0.668890,2.973706,0.012904,0.000665
0.050000,1.733557,24.284064,0.133809,0.817617,2.974536,0.016587,0.000953
0.050000,1.781876,24.284118,0.182129,0.966395,2.975549,0.020265,0.001288
0.050000,1.837638,24.284201,0.237891,1.115232,2.976746,0.023939,0.001668
0.050000,1.900845,24.284320,0.301098,1.264138,2.978126,0.027608,0.002091
0.050000,1.971501,24.284484,0.371754,1.413123,2.979690,0.031271,0.002554
0.050000,2.049610,24.284703,0.449863,1.562194,2.981436,0.034928,0.003052
0.050000,2.135178,24.284987,0.535432,1.711363,2.983365,0.038578,0.003583
0.050000,2.228209,24.285346,0.628463,1.860637,2.985476,0.042221,0.004143
0.050000,2.328709,24.285792,0.728965,2.010025,2.987769,0.045858,0.004726
0.050000,2.436685,24.286335,0.836941,2.159537,2.990243,0.049486,0.005328
0.050000,2.552142,24.286986,0.952401,2.309182,2.992899,0.053108,0.005944
0.050000,2.675088,24.287756,1.075349,2.458969,2.995735,0.056722,0.006568
0.050000,2.805530,24.288654,1.205794,2.608906,2.998751,0.060330,0.007195
0.050000,2.943477,24.289690,1.343745,2.759004,3.001948,0.063933,0.007818
0.050000,3.088935,24.290872,1.489208,2.909270,3.005325,0.067532,0.008430
0.050000,3.238183,24.292174,1.638462,2.985072,1.516033,-29.785840,0.009012
0.050000,3.387491,24.293560,1.787776,2.986291,0.024391,-29.832841,0.009546
0.050000,3.536860,24.295023,1.937152,2.987510,0.024378,-0.000258,0.010032
0.050000,3.686288,24.296555,2.086588,2.988728,0.024366,-0.000237,0.010471
0.050000,3.835777,24.298151,2.236085,2.989946,0.024355,-0.000216,0.010862
0.050000,3.985326,24.299802,2.385644,2.991163,0.024345,-0.000194,0.011206
0.050000,4.134935,24.301501,2.535263,2.992380,0.024337,-0.000171,0.011503
0.050000,4.284605,24.303242,2.684942,2.993597,0.024329,-0.000148,0.011753
0.050000,4.434335,24.305017,2.834683,2.994813,0.024323,-0.000125,0.011955
0.050000,4.584126,24.306820,2.984484,2.996029,0.024318,-0.000102,0.012109
0.050000,4.733977,24.308644,3.134347,2.997244,0.024314,-0.000078,0.012216
0.050000,4.883889,24.310480,3.284270,2.998460,0.024311,-0.000054,0.012276
0.050000,5.033861,24.312323,3.434253,2.999675,0.024310,-0.000031,0.012289
0.050000,5.183894,24.314165,3.584298,3.000891,0.024309,-0.000007,0.012254
