dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.603563,21.716000,0.003750,0.150000,3.000000,60.000000,0.000025
0.050000,1.614917,21.716001,0.015104,0.227078,1.541561,-29.168783,0.000106
0.050000,1.633839,21.716004,0.034026,0.378448,3.027400,29.716780,0.000241
0.050000,1.660329,21.716013,0.060516,0.529795,3.026939,-0.009220,0.000427
0.050000,1.694384,21.716032,0.094572,0.681110,3.026294,-0.012905,0.000665
0.050000,1.736003,21.716065,0.136191,0.832383,3.025464,-0.016587,0.000953
0.050000,1.785184,21.716120,0.185371,0.983605,3.024451,-0.020265,0.001288
0.050000,1.841922,21.716204,0.242109,1.134768,3.023254,-0.023939,0.001668
0.050000,1.906215,21.716325,0.306402,1.285862,3.021874,-0.027608,0.002091
0.050000,1.978059,21.716492,0.378246,1.436877,3.020310,-0.031271,0.002554
0.050000,2.057449,21.716715,0.457637,1.587806,3.018564,-0.034928,0.003052
0.050000,2.144380,21.717003,0.544568,1.738637,3.016635,-0.038579,0.003583
0.050000,2.238848,21.717368,0.639037,1.889363,3.014524,-0.042222,0.004143
0.050000,2.340845,21.717821,0.741035,2.039975,3.012231,-0.045857,0.004726
0.050000,2.450367,21.718372,0.850559,2.190463,3.009756,-0.049486,0.005328
0.050000,2.567406,21.719031,0.967599,2.340818,3.007101,-0.053107,0.005944
0.050000,2.691955,21.719811,1.092151,2.491031,3.004265,-0.056722,0.006568
0.050000,2.824007,21.720720,1.224206,2.641094,3.001249,-0.060330,0.007195
0.050000,2.963553,21.721768,1.363755,2.790996,2.998052,-0.063933,0.007818
0.050000,3.110584,21.722963,1.510792,2.940730,2.994675,-0.067531,0.008430
0.050000,3.261325,21.724278,1.661538,3.014928,1.483968,-30.214157,0.009012
0.050000,3.412004,21.725677,1.812224,3.013709,-0.024390,-30.167156,0.009546
0.050000,3.562621,21.727152,1.962848,3.012490,-0.024377,0.000258,0.010032
0.050000,3.713177,21.728696,2.113412,3.011272,-0.024366,0.000237,0.010471
0.050000,3.863671,21.730302,2.263915,3.010054,-0.024355,0.000215,0.010862
0.050000,4.014104,21.731963,2.414356,3.008837,-0.024345,0.000193,0.011206
0.050000,4.164475,21.733671,2.564737,3.007620,-0.024337,0.000171,0.011503
0.050000,4.314785,21.735419,2.715058,3.006403,-0.024329,0.000148,0.011753
0.050000,4.465034,21.737201,2.865317,3.005187,-0.024323,0.000125,0.011955
0.050000,4.615221,21.739009,3.015515,3.003971,-0.024318,0.000101,0.012109
0.050000,4.765348,21.740835,3.165653,3.002756,-0.024314,0.000078,0.012216
0.050000,4.915414,21.742674,3.315730,3.001540,-0.024311,0.000054,0.012276
0.050000,5.065419,21.744517,3.465746,3.000325,-0.024310,0.000030,0.012289
