dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.663342,24.650000,0.003704,0.148148,2.962963,59.259259,0.000205
0.050000,1.677181,24.650009,0.017542,0.276769,2.572425,-7.810753,0.001054
0.050000,1.704864,24.650062,0.045225,0.553660,5.537808,59.307655,0.002747
0.050000,1.746403,24.650228,0.086765,0.830793,5.542673,0.097305,0.005273
0.050000,1.801817,24.650613,0.142180,1.108295,5.550034,0.147215,0.008616
0.050000,1.871127,24.651354,0.211494,1.386293,5.559962,0.198563,0.012755
0.050000,1.954364,24.652621,0.294740,1.664921,5.572548,0.251710,0.017661
0.050000,2.051559,24.654612,0.391956,1.944315,5.587894,0.306919,0.023303
0.050000,2.162751,24.657558,0.503187,2.224621,5.606110,0.364337,0.029640
0.050000,2.287982,24.661710,0.628486,2.505986,5.627309,0.423974,0.036626
0.050000,2.427296,24.667346,0.767915,2.788566,5.651594,0.485697,0.044208
0.050000,2.580743,24.674762,0.921541,3.072519,5.679055,0.549226,0.052326
0.050000,2.748374,24.684267,1.089441,3.358007,5.709762,0.614139,0.060915
0.050000,2.930243,24.696185,1.271701,3.645195,5.743757,0.679890,0.069900
0.050000,3.126409,24.710843,1.468413,3.934247,5.781048,0.745833,0.079199
0.050000,3.336930,24.728569,1.679680,4.225328,5.821612,0.811266,0.088725
0.050000,3.561871,24.749685,1.905609,4.518597,5.865386,0.875482,0.098383
0.050000,3.801299,24.774501,2.146320,4.814211,5.912277,0.937819,0.108070
0.050000,4.055287,24.803307,2.401936,5.112319,5.962163,0.997731,0.117679
0.050000,4.323913,24.836366,2.672589,5.413064,6.014906,1.054846,0.127094
0.050000,4.607267,24.873906,2.958418,5.716582,6.070357,1.109023,0.136195
0.050000,4.905445,24.916109,3.259568,6.023001,6.128377,1.160397,0.144856
0.050000,5.218560,24.963107,3.576190,6.332443,6.188847,1.209407,0.152945
0.050000,5.546739,25.014968,3.908442,6.645028,6.251687,1.256802,0.160326
0.050000,5.890129,25.071687,4.256485,6.960871,6.316868,1.303620,0.166858
0.050000,6.248903,25.133175,4.620490,7.280092,6.384425,1.351135,0.172393
0.050000,6.623257,25.199250,5.000631,7.602816,6.454464,1.400777,0.176779
0.050000,7.009801,25.268963,5.393411,7.855597,5.055631,-27.976656,0.179837
0.050000,7.401483,25.340544,5.791580,7.963379,2.155629,-58.000027,0.181429
0.050000,7.794801,25.412767,6.191473,7.997870,0.689822,-29.316147,0.181522
0.050000,8.189862,25.485041,6.593091,8.032357,0.689754,-0.001364,0.180115
0.050000,8.586776,25.556769,6.996434,8.066872,0.690295,0.010812,0.177207
0.050000,8.985653,25.627345,7.401507,8.101441,0.691375,0.021615,0.172797
0.050000,9.386595,25.696154,7.808311,8.136084,0.692853,0.029563,0.166879
0.050000,9.789701,25.762568,8.216851,8.170809,0.694511,0.033147,0.159452
0.050000,10.195057,25.825950,8.627132,8.205612,0.696052,0.030821,0.150511
0.050000,10.602732,25.885649,9.039155,8.240467,0.697102,0.021005,0.140055
0.050000,11.012779,25.941006,9.452921,8.275327,0.697208,0.002115,0.128082
0.050000,11.425223,25.991350,9.868427,8.310119,0.695838,-0.027395,0.114595
0.050000,11.840064,26.036000,10.285664,8.344739,0.692390,-0.068962,0.099603
0.050000,12.257265,26.074272,10.704617,8.379049,0.686200,-0.123807,0.083119
0.050000,12.676750,26.105479,11.125261,8.412877,0.676559,-0.192805,0.065163
0.050000,13.098398,26.128936,11.547561,8.446014,0.662743,-0.276329,0.045765
0.050000,13.522042,26.143971,11.971472,8.478216,0.644039,-0.374071,0.024967
0.050000,13.947461,26.149926,12.396932,8.509205,0.619796,-0.484870,0.002820
0.050000,14.383813,26.144537,12.833317,8.727704,4.369964,75.003365,6.254262
0.050000,14.825827,26.123716,13.275822,8.850095,2.447819,-38.442906,6.217279
0.050000,15.272336,26.085009,13.724005,8.963664,2.271396,-3.528450,6.175352
0.050000,15.723255,26.025491,14.178835,9.096588,2.658464,7.741361,6.127637
0.050000,16.178162,25.941652,14.641403,9.251371,3.095665,8.744013,6.073180
0.050000,16.636066,25.829337,15.112881,9.429548,3.563544,9.357576,6.010959
0.050000,17.095058,25.683789,15.594397,9.630325,4.015536,9.039839,5.939988
0.050000,17.551845,25.499868,16.086821,9.848481,4.363129,6.951873,5.859503
0.050000,18.001249,25.272626,16.590411,10.071790,4.466181,2.061040,5.769277
0.050000,18.435880,24.998310,17.104369,10.279168,4.147561,-6.372407,5.669999
0.050000,18.846402,24.675726,17.626470,10.442016,3.256941,-17.812402,5.563610
0.050000,19.222735,24.307440,18.153025,10.531114,1.781974,-29.499334,5.453329
0.050000,19.556067,23.900033,18.679420,10.527886,-0.064571,-36.930913,5.343190
0.050000,19.840825,23.462943,19.201085,10.433309,-1.891526,-36.539102,5.237181
0.050000,20.075547,23.006375,19.714455,10.267405,-3.318085,-28.531171,5.138416
0.050000,20.262369,22.539371,20.217442,10.059725,-4.153593,-16.710155,5.048716
0.050000,20.405696,22.068798,20.709357,9.838312,-4.428261,-5.493370,4.968675
0.050000,20.510855,21.599262,21.190526,9.623371,-4.298834,2.588539,4.898007
0.050000,20.583153,21.133522,21.661844,9.426356,-3.940298,7.170733,4.835926
0.050000,20.627395,20.673044,22.124442,9.251975,-3.487618,9.053589,4.781442
0.050000,20.647710,20.218460,22.579480,9.100747,-3.024554,9.261278,4.733546
0.050000,20.650000,19.794246,23.003700,8.484412,-12.326696,-186.042841,4.712389
0.050000,20.650000,19.394246,23.403700,8.000000,-9.688247,52.768992,4.712389
0.050000,20.650000,18.994246,23.803700,8.000000,0.000000,193.764935,4.712389
0.050000,20.650000,18.594246,24.203700,8.000000,-0.000000,-0.000000,4.712389
0.050000,20.650000,18.194246,24.603700,8.000000,-0.000000,-0.000000,4.712389
0.050000,20.650000,17.794246,25.003700,8.000000,-0.000000,0.000000,4.712389
0.050000,20.650000,17.394246,25.403700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,16.994246,25.803700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,16.594246,26.203700,8.000000,0.000000,-0.000000,4.712389
0.050000,20.650000,16.194246,26.603700,8.000000,-0.000000,-0.000000,4.712389
0.050000,20.650000,15.794246,27.003700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,15.394246,27.403700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,14.994246,27.803700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,14.594246,28.203700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,14.194246,28.603700,8.000000,0.000000,-0.000000,4.712389
0.050000,20.650000,13.794246,29.003700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,13.394246,29.403700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,12.994246,29.803700,8.000000,-0.000000,-0.000000,4.712389
0.050000,20.650000,12.594246,30.203700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,12.194246,30.603700,8.000000,0.000000,-0.000000,4.712389
0.050000,20.650000,11.794246,31.003700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,11.394246,31.403700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,10.994246,31.803700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650000,10.594246,32.203700,8.000000,-0.000000,-0.000000,4.712389
0.050000,20.650000,10.194246,32.603700,8.000000,0.000000,0.000000,4.712389
0.050000,20.650820,9.804220,32.993727,7.800537,-3.989264,-79.785289,4.720981
0.050000,20.657746,9.427972,33.370039,7.526232,-5.486092,-29.936556,4.741574
0.050000,20.673217,9.058937,33.739398,7.387173,-2.781183,54.098190,4.768209
0.050000,20.699208,8.699202,34.100070,7.213453,-3.474410,-13.864552,4.802392
