dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.663815,22.350000,0.003704,0.148148,2.962963,59.259259,0.000205
0.050000,1.679606,22.350010,0.019495,0.315823,3.353500,7.810746,0.001054
0.050000,1.711182,22.350070,0.051071,0.631525,6.314041,59.210821,0.002747
0.050000,1.758531,22.350260,0.098420,0.946984,6.309172,-0.097388,0.005273
0.050000,1.821633,22.350699,0.161524,1.262074,6.301805,-0.147335,0.008616
0.050000,1.900462,22.351541,0.240357,1.576668,6.291869,-0.198715,0.012755
0.050000,1.994982,22.352979,0.334889,1.890631,6.279275,-0.251887,0.017661
0.050000,2.105151,22.355237,0.445080,2.203827,6.263920,-0.307112,0.023303
0.050000,2.230912,22.358568,0.570886,2.516112,6.245693,-0.364536,0.029640
0.050000,2.372201,22.363253,0.712253,2.827336,6.224484,-0.424167,0.036626
0.050000,2.528940,22.369593,0.869120,3.137346,6.200191,-0.485872,0.044208
0.050000,2.701039,22.377910,1.041419,3.445982,6.172722,-0.549369,0.052326
0.050000,2.888392,22.388533,1.229073,3.753082,6.142010,-0.614238,0.060915
0.050000,3.090882,22.401802,1.431997,4.058483,6.108014,-0.679930,0.069900
0.050000,3.308376,22.418053,1.650098,4.362019,6.070724,-0.745804,0.079199
0.050000,3.540731,22.437616,1.883275,4.663528,6.030166,-0.811160,0.088725
0.050000,3.787787,22.460807,2.131417,4.962848,5.986401,-0.875290,0.098383
0.050000,4.049377,22.487919,2.394408,5.259824,5.939524,-0.937541,0.108070
0.050000,4.325323,22.519214,2.672124,5.554307,5.889656,-0.997370,0.117679
0.050000,4.615442,22.554917,2.964431,5.846153,5.836935,-1.054411,0.127094
0.050000,4.919547,22.595204,3.271193,6.135229,5.781509,-1.108529,0.136195
0.050000,5.237449,22.640198,3.592263,6.421405,5.723515,-1.159866,0.144856
0.050000,5.568963,22.689956,3.927491,6.704558,5.663072,-1.208871,0.152945
0.050000,5.913912,22.744465,4.276719,6.984571,5.600257,-1.256299,0.160326
0.050000,6.272125,22.803630,4.639786,7.261326,5.535097,-1.303198,0.166858
0.050000,6.643446,22.867268,5.016521,7.534704,5.467554,-1.350852,0.172393
0.050000,7.027735,22.935095,5.406750,7.804580,5.397519,-1.400701,0.176779
0.050000,7.421200,23.006055,5.806562,7.996249,3.833382,-31.282757,0.179837
0.050000,7.816485,23.078294,6.208393,8.036620,0.807423,-60.519167,0.181429
0.050000,8.210012,23.150555,6.608500,8.002130,-0.689788,-29.944232,0.181522
0.050000,8.601890,23.222247,7.006882,7.967641,-0.689780,0.000165,0.180115
0.050000,8.992223,23.292787,7.403538,7.933122,-0.690381,-0.012014,0.177207
0.050000,9.381110,23.361597,7.798465,7.898546,-0.691522,-0.022821,0.172797
0.050000,9.768639,23.428106,8.191660,7.863893,-0.693061,-0.030778,0.166879
0.050000,10.154889,23.491745,8.583118,7.829154,-0.694780,-0.034372,0.159452
0.050000,10.539927,23.551952,8.972834,7.794335,-0.696382,-0.032053,0.150511
0.050000,10.923805,23.608170,9.360807,7.759460,-0.697494,-0.022240,0.140055
0.050000,11.306562,23.659846,9.747036,7.724577,-0.697661,-0.003343,0.128082
0.050000,11.688216,23.706435,10.131524,7.689760,-0.696352,0.026190,0.114595
0.050000,12.068774,23.747399,10.514280,7.655112,-0.692962,0.067800,0.099603
0.050000,12.448218,23.782212,10.895318,7.620770,-0.686826,0.122715,0.083119
0.050000,12.826518,23.810360,11.274664,7.586909,-0.677235,0.191817,0.065163
0.050000,13.203622,23.831345,11.652351,7.553735,-0.663461,0.275484,0.045765
0.050000,13.579460,23.844688,12.028425,7.521496,-0.644790,0.373413,0.024967
0.050000,13.953946,23.849935,12.402949,7.490468,-0.620568,0.484446,0.002820
0.050000,14.317298,23.845499,12.766328,7.267578,-4.457792,-76.744473,6.254262
0.050000,14.674353,23.828709,13.123777,7.148994,-2.371679,41.722259,6.217279
0.050000,15.024800,23.798368,13.475535,7.035164,-2.276596,1.901656,6.175352
0.050000,15.366934,23.753260,13.820630,6.901895,-2.665380,-7.775675,6.127637
0.050000,15.698692,23.692183,14.157963,6.746653,-3.104847,-8.789336,6.073180
0.050000,16.017651,23.614035,14.486356,6.567872,-3.575620,-9.415465,6.010959
0.050000,16.321108,23.517917,14.804672,6.366318,-4.031080,-9.109202,5.939988
0.050000,16.606270,23.403231,15.112032,6.147200,-4.382353,-7.025457,5.859503
0.050000,16.870604,23.269717,15.408171,5.922781,-4.488386,-2.120657,5.769277
0.050000,17.112284,23.117328,15.693884,5.714257,-4.170481,6.358085,5.669999
0.050000,17.330552,22.945929,15.971406,5.550432,-3.276500,17.879628,5.563610
0.050000,17.525716,22.754981,16.244444,5.460769,-1.793259,29.664820,5.453329
0.050000,17.698690,22.543513,16.517645,5.464018,0.064988,37.164942,5.343190
0.050000,17.850340,22.310567,16.795605,5.559192,1.903476,36.769765,5.237181
0.050000,17.981134,22.055885,17.081909,5.726088,3.337923,28.688937,5.138416
0.050000,18.091231,21.780319,17.378655,5.934909,4.176418,16.769903,5.048716
0.050000,18.180819,21.485771,17.686526,6.157417,4.450150,5.474634,4.968675
0.050000,18.250363,21.174787,18.005191,6.373301,4.317680,-2.649409,4.898007
0.050000,18.300681,20.850109,18.333744,6.571076,3.955499,-7.243603,4.835926
0.050000,18.332877,20.514347,18.671047,6.746047,3.499425,-9.121490,4.781442
0.050000,18.348224,20.169803,19.015933,6.897724,3.033543,-9.317634,4.733546
0.050000,18.350000,19.794246,19.391494,7.511225,12.270010,184.729340,4.712389
0.050000,18.350000,19.394246,19.791494,8.000000,9.775507,-49.890068,4.712389
0.050000,18.350000,18.994246,20.191494,8.000000,0.000000,-195.510137,4.712389
0.050000,18.350000,18.594246,20.591494,8.000000,-0.000000,-0.000000,4.712389
0.050000,18.350000,18.194246,20.991494,8.000000,-0.000000,-0.000000,4.712389
0.050000,18.350000,17.794246,21.391494,8.000000,-0.000000,0.000000,4.712389
0.050000,18.350000,17.394246,21.791494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,16.994246,22.191494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,16.594246,22.591494,8.000000,0.000000,-0.000000,4.712389
0.050000,18.350000,16.194246,22.991494,8.000000,-0.000000,-0.000000,4.712389
0.050000,18.350000,15.794246,23.391494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,15.394246,23.791494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,14.994246,24.191494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,14.594246,24.591494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,14.194246,24.991494,8.000000,0.000000,-0.000000,4.712389
0.050000,18.350000,13.794246,25.391494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,13.394246,25.791494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,12.994246,26.191494,8.000000,-0.000000,-0.000000,4.712389
0.050000,18.350000,12.594246,26.591494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,12.194246,26.991494,8.000000,0.000000,-0.000000,4.712389
0.050000,18.350000,11.794246,27.391494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,11.394246,27.791494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,10.994246,28.191494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350000,10.594246,28.591494,8.000000,-0.000000,-0.000000,4.712389
0.050000,18.350000,10.194246,28.991494,8.000000,0.000000,0.000000,4.712389
0.050000,18.350904,9.784458,29.401283,8.195778,3.915557,78.311137,4.720981
0.050000,18.358725,9.360856,29.824957,8.473485,5.554149,32.771837,4.741574
0.050000,18.376799,8.930617,30.255575,8.612354,2.777383,-55.535318,4.768209
0.050000,18.408518,8.492475,30.694864,8.785769,3.468300,13.818338,4.802392
0.050000,18.458473,8.044809,31.145308,9.008897,4.462556,19.885127,4.846288
0.050000,18.533144,7.585645,31.610505,9.303929,5.900634,28.761555,4.903035
0.050000,18.640901,7.116960,32.091418,9.618260,6.286629,7.719911,4.976439
0.050000,18.791162,6.646668,32.585131,9.874257,5.119933,-23.333927,5.070157
0.050000,18.995277,6.183040,33.091702,10.131420,5.143267,0.466680,5.187766
0.050000,19.265856,5.737133,33.613282,10.431596,6.003511,17.204887,5.331445
0.050000,19.609306,5.330070,34.145878,10.651922,4.406523,-31.939770,5.497731
0.050000,20.015328,4.989760,34.675655,10.595547,-1.127504,-110.680528,5.674514
0.050000,20.454579,4.736302,35.182788,10.142651,-9.057910,-158.608136,5.844419
0.050000,20.892765,4.569758,35.651555,9.375356,-15.345906,-125.759906,5.993693
0.050000,21.306435,4.474361,36.076083,8.490560,-17.695925,-47.000385,6.117236
0.050000,21.685868,4.430415,36.458052,7.639376,-17.023684,13.444828,6.216554
0.050000,22.029854,4.421397,36.802157,6.882094,-15.145633,37.561011,0.012587
0.050000,22.340687,4.435370,37.113303,6.222929,-13.183305,39.246565,0.075994
0.050000,22.621511,4.464133,37.395596,5.645860,-11.541368,32.838736,0.127176
0.050000,22.875294,4.502073,37.652199,5.132063,-10.275956,25.308245,0.168891
0.050000,23.104535,4.545286,37.885478,4.665580,-9.329644,18.926245,0.203200
0.050000,23.311253,4.590996,38.097190,4.234229,-8.627024,14.052389,0.231633
0.050000,23.497052,4.637180,38.288642,3.829046,-8.103655,10.467373,0.255330
0.050000,23.663201,4.682332,38.460817,3.443505,-7.710838,7.856348,0.275145
0.050000,23.810709,4.725311,38.614459,3.072834,-7.413412,5.948513,0.291725
0.050000,23.940377,4.765238,38.750135,2.713514,-7.186390,4.540439,0.305565
0.050000,24.052842,4.801431,38.868280,2.362911,-7.012062,3.486569,0.317043
0.050000,24.148612,4.833357,38.969231,2.019020,-6.877835,2.684537,0.326452
0.050000,24.228086,4.860601,39.053246,1.680284,-6.774719,2.062320,0.334015
0.050000,24.291576,4.882844,39.120519,1.345470,-6.696278,1.568823,0.339903
0.050000,24.339318,4.899844,39.171198,1.013574,-6.637917,1.167223,0.344244
0.050000,24.371483,4.911428,39.205385,0.683754,-6.596399,0.830361,0.347127
0.050000,24.388183,4.917484,39.223149,0.355278,-6.569521,0.537560,0.348611
0.050000,24.393000,4.919236,39.228275,0.102521,-5.055144,30.287534,0.349037
0.050000,24.393323,4.919353,39.228619,0.006869,-1.913024,62.842395,0.349066
0.050000,24.393323,4.919353,39.228619,0.000000,-0.137390,35.512690,0.349066
