dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.663578,23.500000,0.003704,0.148148,2.962963,59.259259,0.000205
0.050000,1.678393,23.500010,0.018519,0.444444,5.925926,59.259259,0.001054
0.050000,1.708023,23.500066,0.048148,0.740741,5.925926,0.000000,0.002747
0.050000,1.752467,23.500244,0.092593,1.037037,5.925926,0.000000,0.005273
0.050000,1.811725,23.500656,0.151852,1.333333,5.925926,0.000000,0.008616
0.050000,1.885795,23.501448,0.225926,1.629630,5.925926,0.000000,0.012755
0.050000,1.974673,23.502800,0.314815,1.925926,5.925926,0.000000,0.017661
0.050000,2.078355,23.504925,0.418519,2.222222,5.925926,0.000000,0.023303
0.050000,2.196832,23.508063,0.537037,2.518519,5.925926,-0.000000,0.029640
0.050000,2.330091,23.512481,0.670370,2.814815,5.925926,0.000000,0.036626
0.050000,2.478118,23.518470,0.818519,3.111111,5.925926,0.000000,0.044208
0.050000,2.640891,23.526336,0.981481,3.407407,5.925926,0.000000,0.052326
0.050000,2.818383,23.536400,1.159259,3.703704,5.925926,0.000000,0.060915
0.050000,3.010563,23.548994,1.351852,4.000000,5.925926,0.000000,0.069900
0.050000,3.217393,23.564448,1.559259,4.296296,5.925926,0.000000,0.079199
0.050000,3.438831,23.583093,1.781481,4.592593,5.925926,-0.000000,0.088725
0.050000,3.674829,23.605246,2.018519,4.888889,5.925926,0.000000,0.098383
0.050000,3.925338,23.631210,2.270370,5.185185,5.925926,-0.000000,0.108070
0.050000,4.190305,23.661261,2.537037,5.481481,5.925926,0.000000,0.117679
0.050000,4.469678,23.695642,2.818519,5.777778,5.925926,-0.000000,0.127094
0.050000,4.763407,23.734555,3.114815,6.074074,5.925926,0.000000,0.136195
0.050000,5.071447,23.778154,3.425926,6.370370,5.925926,-0.000000,0.144856
0.050000,5.393761,23.826532,3.751852,6.666667,5.925926,0.000000,0.152945
0.050000,5.730325,23.879717,4.092593,6.962963,5.925926,-0.000000,0.160326
0.050000,6.081127,23.937659,4.448148,7.259259,5.925926,0.000000,0.166858
0.050000,6.446175,24.000221,4.818519,7.555556,5.925926,-0.000000,0.172393
0.050000,6.825496,24.067172,5.203704,7.851852,5.925926,0.000000,0.176779
0.050000,7.215501,24.137509,5.600000,8.000000,2.962963,-59.259259,0.179837
0.050000,7.608984,24.209419,6.000000,8.000000,0.000000,-59.259259,0.181429
0.050000,8.002406,24.281661,6.400000,8.000000,0.000000,0.000000,0.181522
0.050000,8.395876,24.353644,6.800000,8.000000,0.000000,0.000000,0.180115
0.050000,8.789500,24.424778,7.200000,8.000000,0.000000,0.000000,0.177207
0.050000,9.183381,24.494471,7.600000,8.000000,0.000000,0.000000,0.172797
0.050000,9.577617,24.562130,8.000000,8.000000,0.000000,0.000000,0.166879
0.050000,9.972295,24.627157,8.400000,8.000000,0.000000,0.000000,0.159452
0.050000,10.367492,24.688951,8.800000,8.000000,0.000000,0.000000,0.150511
0.050000,10.763269,24.746910,9.200000,8.000000,0.000000,0.000000,0.140055
0.050000,11.159670,24.800426,9.600000,8.000000,0.000000,0.000000,0.128082
0.050000,11.556720,24.848892,10.000000,8.000000,0.000000,0.000000,0.114595
0.050000,11.954419,24.891699,10.400000,8.000000,0.000000,0.000000,0.099603
0.050000,12.352742,24.928242,10.800000,8.000000,0.000000,0.000000,0.083119
0.050000,12.751634,24.957919,11.200000,8.000000,0.000000,0.000000,0.065163
0.050000,13.151010,24.980141,11.600000,8.000000,0.000000,0.000000,0.045765
0.050000,13.550751,24.994330,12.000000,8.000000,0.000000,0.000000,0.024967
0.050000,13.950704,24.999930,12.400000,8.000000,0.000000,0.000000,0.002820
0.050000,14.350555,24.995018,12.800000,8.000000,0.000000,0.000000,6.254262
0.050000,14.750090,24.976212,13.200000,8.000000,0.000000,0.000000,6.217279
0.050000,15.148568,24.941688,13.600000,8.000000,0.000000,0.000000,6.175352
0.050000,15.545094,24.889375,14.000000,8.000000,0.000000,0.000000,6.127637
0.050000,15.938427,24.816918,14.400000,8.000000,0.000000,0.000000,6.073180
0.050000,16.326859,24.721686,14.800000,8.000000,0.000000,0.000000,6.010959
0.050000,16.708083,24.600853,15.200000,8.000000,0.000000,0.000000,5.939988
0.050000,17.079058,24.451550,15.600000,8.000000,0.000000,0.000000,5.859503
0.050000,17.435927,24.271172,16.000000,8.000000,0.000000,0.000000,5.769277
0.050000,17.774082,24.057819,16.400000,8.000000,0.000000,0.000000,5.669999
0.050000,18.088477,23.810827,16.800000,8.000000,0.000000,0.000000,5.563610
0.050000,18.374225,23.531211,17.200000,8.000000,0.000000,0.000000,5.453329
0.050000,18.627378,23.221773,17.600000,8.000000,0.000000,0.000000,5.343190
0.050000,18.845583,22.886755,18.000000,8.000000,0.000000,0.000000,5.237181
0.050000,19.028340,22.531130,18.400000,8.000000,0.000000,0.000000,5.138416
0.050000,19.176800,22.159845,18.800000,8.000000,0.000000,0.000000,5.048716
0.050000,19.293258,21.777285,19.200000,8.000000,0.000000,0.000000,4.968675
0.050000,19.380609,21.387024,19.600000,8.000000,0.000000,0.000000,4.898007
0.050000,19.441917,20.991816,20.000000,8.000000,0.000000,0.000000,4.835926
0.050000,19.480136,20.593695,20.400000,8.000000,0.000000,0.000000,4.781442
0.050000,19.497967,20.194131,20.800000,8.000000,0.000000,0.000000,4.733546
0.050000,19.500000,19.794246,21.200000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,19.394246,21.600000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,18.994246,22.000000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,18.594246,22.400000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,18.194246,22.800000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,17.794246,23.200000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,17.394246,23.600000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,16.994246,24.000000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,16.594246,24.400000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,16.194246,24.800000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,15.794246,25.200000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,15.394246,25.600000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,14.994246,26.000000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,14.594246,26.400000,8.000000,0.000000,0.000000,4.712389
0.050000,19.500000,14.194246,26.800000,8.000000,0.000000,0.000000,4.712389
