dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,24.434452,4.791726,0.003704,0.148148,2.962963,59.259259,3.489589
0.050000,24.420034,4.786523,0.019032,0.306562,3.168285,4.106440,3.486304
0.050000,24.395931,4.777943,0.044616,0.511689,4.102528,18.684852,3.480801
0.050000,24.362034,4.766130,0.080513,0.717930,4.124834,0.446123,3.473036
0.050000,24.318192,4.751289,0.126798,0.925707,4.155531,0.613937,3.462949
0.050000,24.264218,4.733694,0.183568,1.135405,4.193950,0.768394,3.450464
0.050000,24.199887,4.713696,0.250936,1.347356,4.239029,0.901565,3.435495
0.050000,24.124949,4.691729,0.329027,1.561813,4.289139,1.002217,3.417944
0.050000,24.039138,4.668326,0.417972,1.778907,4.341882,1.054849,3.397707
0.050000,23.942183,4.644123,0.517902,1.998598,4.393828,1.038917,3.374684
0.050000,23.833833,4.619875,0.628933,2.220611,4.440250,0.928453,3.348784
0.050000,23.713879,4.596458,0.751150,2.444355,4.474881,0.692618,3.319939
0.050000,23.582194,4.574874,0.884593,2.668844,4.489773,0.297837,3.288120
0.050000,23.438769,4.556245,1.029223,2.892613,4.475396,-0.287536,3.253355
0.050000,23.283757,4.541792,1.184907,3.113669,4.421121,-1.085505,3.215750
0.050000,23.117526,4.532801,1.351381,3.329481,4.316240,-2.097617,3.175508
0.050000,22.940687,4.530571,1.528234,3.537061,4.151597,-3.292871,3.132950
0.050000,22.754119,4.536340,1.714891,3.733146,3.921686,-4.598220,3.088524
0.050000,22.558960,4.551204,1.910615,3.914486,3.626811,-5.897494,3.042805
0.050000,22.356567,4.576035,2.114526,4.078216,3.274593,-7.044350,2.996477
0.050000,22.148441,4.611412,2.325637,4.222219,2.880062,-7.890617,2.950310
0.050000,21.936131,4.657573,2.542908,4.345412,2.463868,-8.323893,2.905116
0.050000,21.721124,4.714410,2.765300,4.447853,2.048811,-8.301144,2.861702
0.050000,21.504752,4.781490,2.991832,4.530633,1.655610,-7.864021,2.820835
0.050000,21.288119,4.858098,3.221612,4.595591,1.299164,-7.128914,2.783209
0.050000,21.072067,4.943302,3.453857,4.644908,0.986328,-6.256724,2.749434
0.050000,20.857174,5.036001,3.687891,4.680685,0.715533,-5.415899,2.720036
0.050000,20.647577,5.133157,3.918911,4.620401,-1.205677,-38.424201,2.695873
0.050000,20.446595,5.231583,4.142701,4.475793,-2.892146,-33.729374,2.677343
0.050000,20.253416,5.330005,4.359507,4.336122,-2.793427,1.974377,2.664252
0.050000,20.067293,5.427295,4.569523,4.200321,-2.716010,1.548343,2.656451
0.050000,19.888282,5.522057,4.772070,4.050930,-2.987831,-5.436411,2.653844
0.050000,19.718942,5.611722,4.963684,3.832280,-4.373009,-27.703566,2.656242
0.050000,19.560921,5.694448,5.142049,3.567299,-5.299620,-18.532214,2.663189
0.050000,19.413418,5.769984,5.307768,3.314388,-5.058220,4.827989,2.674215
0.050000,19.275790,5.838244,5.461393,3.072506,-4.837621,4.411988,2.688891
0.050000,19.147516,5.899279,5.603448,2.841093,-4.628268,4.187055,2.706809
0.050000,19.028159,5.953264,5.734447,2.619975,-4.422356,4.118238,2.727568
0.050000,18.917335,6.000483,5.854910,2.409272,-4.214074,4.165638,2.750763
0.050000,18.814692,6.041309,5.965374,2.209281,-3.999806,4.285372,2.775976
0.050000,18.719886,6.076188,6.066393,2.020369,-3.778244,4.431243,2.802777
0.050000,18.632571,6.105622,6.158535,1.842851,-3.550358,4.557720,2.830722
0.050000,18.552393,6.130145,6.242380,1.676894,-3.319151,4.624124,2.859360
0.050000,18.478989,6.150304,6.318502,1.522434,-3.089189,4.599240,2.888244
0.050000,18.411996,6.166642,6.387459,1.379138,-2.865930,4.465179,2.916939
0.050000,18.351056,6.179681,6.449778,1.246389,-2.654964,4.219322,2.945035
0.050000,18.295829,6.189910,6.505944,1.123325,-2.461280,3.873682,2.972154
0.050000,18.246002,6.197780,6.556389,1.008891,-2.288691,3.451778,2.997961
0.050000,18.201296,6.203698,6.601485,0.901916,-2.139499,2.983846,3.022164
0.050000,18.161471,6.208028,6.641544,0.801195,-2.014419,2.501602,3.044521
0.050000,18.126326,6.211092,6.676822,0.705558,-1.912733,2.033724,3.064834
0.050000,18.095700,6.213170,6.707519,0.613929,-1.832594,1.602782,3.082945
0.050000,18.069466,6.214503,6.733787,0.525359,-1.771402,1.223832,3.098737
0.050000,18.047528,6.215297,6.755739,0.439050,-1.726180,0.904438,3.112121
0.050000,18.029815,6.215723,6.773457,0.354355,-1.693897,0.645653,3.123033
0.050000,18.016278,6.215917,6.786995,0.270768,-1.671725,0.443449,3.131432
0.050000,18.006883,6.215985,6.796391,0.187908,-1.657215,0.290208,3.137289
0.050000,18.001609,6.215999,6.801665,0.105487,-1.648415,0.175998,3.140586
0.050000,18.000000,6.216000,6.803274,0.032179,-1.466156,3.645182,3.141593
0.050000,18.000000,6.216000,6.803274,0.000000,-0.643584,16.451426,3.141593
