dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,23.558726,7.205795,0.003704,0.148148,2.962963,59.259259,3.489589
0.050000,23.552242,7.203455,0.010598,0.137882,-0.205326,-63.365780,3.486304
0.050000,23.541452,7.199614,0.022050,0.229051,1.823384,40.574193,3.480801
0.050000,23.526386,7.194364,0.038006,0.319104,1.801059,-0.446496,3.473036
0.050000,23.507081,7.187828,0.058387,0.407621,1.770334,-0.614492,3.462949
0.050000,23.483587,7.180169,0.083097,0.494215,1.731877,-0.769143,3.450464
0.050000,23.455964,7.171582,0.112025,0.578552,1.686749,-0.902554,3.435495
0.050000,23.424278,7.162293,0.145044,0.660381,1.636576,-1.003476,3.417944
0.050000,23.388603,7.152562,0.182022,0.739569,1.583755,-1.056412,3.397707
0.050000,23.349010,7.142677,0.222830,0.816154,1.531714,-1.040812,3.374684
0.050000,23.305565,7.132952,0.267351,0.890413,1.485180,-0.930694,3.348784
0.050000,23.258311,7.123725,0.315497,0.962934,1.450421,-0.695169,3.319939
0.050000,23.207257,7.115355,0.367233,1.034704,1.435390,-0.300617,3.288120
0.050000,23.152359,7.108223,0.422592,1.107185,1.449626,0.284705,3.253355
0.050000,23.093496,7.102734,0.481711,1.182374,1.503770,1.082892,3.215750
0.050000,23.030448,7.099325,0.544851,1.262801,1.608551,2.095608,3.175508
0.050000,22.962880,7.098475,0.612424,1.351459,1.773148,3.291942,3.132950
0.050000,22.890334,7.100725,0.685004,1.451613,2.003091,4.598854,3.088524
0.050000,22.812236,7.106683,0.763330,1.566518,2.298095,5.900081,3.042805
0.050000,22.727917,7.117043,0.848282,1.699045,2.650547,7.049047,2.996477
0.050000,22.636664,7.132574,0.940848,1.851316,3.045409,7.897241,2.950310
0.050000,22.537759,7.154104,1.042069,2.024416,3.462004,8.331891,2.905116
0.050000,22.430535,7.182478,1.152983,2.218290,3.877488,8.309689,2.861702
0.050000,22.314406,7.218513,1.274576,2.431845,4.271097,7.872178,2.820835
0.050000,22.188873,7.262940,1.407738,2.663239,4.627889,7.135842,2.783209
0.050000,22.053517,7.316355,1.553252,2.910288,4.940980,6.261815,2.749434
0.050000,21.907952,7.379181,1.711796,3.170885,5.211921,5.418822,2.720036
0.050000,21.754661,7.450264,1.880767,3.379405,4.170402,-20.830373,2.695873
0.050000,21.596423,7.527780,2.056971,3.524092,2.893749,-25.533063,2.677343
0.050000,21.433202,7.610954,2.240162,3.663821,2.794574,-1.983505,2.664252
0.050000,21.264838,7.698971,2.430145,3.799658,2.716746,-1.556545,2.656451
0.050000,21.091746,7.790603,2.625995,3.916999,2.346821,-7.398517,2.653844
0.050000,20.916963,7.883147,2.823767,3.955433,0.768684,-31.562740,2.656242
0.050000,20.743133,7.974141,3.019972,3.924105,-0.626570,-27.905068,2.663189
0.050000,20.570422,8.062574,3.214007,3.880698,-0.868133,-4.831264,2.674215
0.050000,20.399025,8.147566,3.405320,3.826257,-1.088814,-4.413620,2.688891
0.050000,20.229194,8.228355,3.593387,3.761348,-1.298186,-4.187436,2.706809
0.050000,20.061258,8.304292,3.777694,3.686145,-1.504068,-4.117639,2.727568
0.050000,19.895629,8.374839,3.957721,3.600531,-1.712281,-4.164271,2.750763
0.050000,19.732816,8.439573,4.132931,3.504208,-1.926453,-4.283427,2.775976
0.050000,19.573413,8.498195,4.302772,3.396813,-2.147898,-4.428911,2.802777
0.050000,19.418092,8.550531,4.466674,3.278030,-2.375658,-4.555202,2.830722
0.050000,19.267584,8.596544,4.624058,3.147693,-2.606740,-4.621627,2.859360
0.050000,19.122652,8.636329,4.774351,3.005864,-2.836587,-4.596958,2.888244
0.050000,18.984066,8.670112,4.916995,2.852876,-3.059751,-4.463275,2.916939
0.050000,18.852572,8.698233,5.051462,2.689344,-3.270647,-4.217909,2.945035
0.050000,18.728868,8.721135,5.177269,2.516130,-3.464287,-3.872812,2.972154
0.050000,18.613582,8.739336,5.293983,2.334287,-3.636859,-3.451444,2.997961
0.050000,18.507259,8.753406,5.401232,2.144984,-3.786059,-2.983989,3.022164
0.050000,18.410359,8.763939,5.498704,1.949425,-3.911165,-2.502127,3.044521
0.050000,18.323250,8.771531,5.586143,1.748781,-4.012891,-2.034522,3.064834
0.050000,18.246221,8.776755,5.663349,1.544127,-4.093078,-1.603740,3.082945
0.050000,18.179486,8.780145,5.730170,1.336411,-4.154321,-1.224850,3.098737
0.050000,18.123201,8.782182,5.786491,1.126431,-4.199593,-0.905435,3.112121
0.050000,18.077473,8.783280,5.832233,0.914835,-4.231921,-0.646563,3.123033
0.050000,18.042370,8.783785,5.867339,0.702129,-4.254132,-0.444227,3.131432
0.050000,18.017936,8.783961,5.891774,0.488695,-4.268674,-0.290826,3.137289
0.050000,18.004195,8.783998,5.905515,0.274820,-4.277495,-0.176438,3.140586
0.050000,18.000000,8.784000,5.909710,0.083900,-3.818396,9.181978,3.141593
0.050000,18.000000,8.784000,5.909710,0.000000,-1.678008,42.807766,3.141593
