dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,23.996589,5.998761,0.003704,0.148148,2.962963,59.259259,3.489589
0.050000,23.986138,5.994989,0.014815,0.296296,2.962963,0.000000,3.486304
0.050000,23.968692,5.988779,0.033333,0.444444,2.962963,0.000000,3.480801
0.050000,23.944210,5.980247,0.059259,0.592593,2.962963,0.000000,3.473036
0.050000,23.912637,5.969559,0.092593,0.740741,2.962963,0.000000,3.462949
0.050000,23.873902,5.956932,0.133333,0.888889,2.962963,0.000000,3.450464
0.050000,23.827925,5.942639,0.181481,1.037037,2.962963,0.000000,3.435495
0.050000,23.774614,5.927011,0.237037,1.185185,2.962963,0.000000,3.417944
0.050000,23.713870,5.910444,0.300000,1.333333,2.962963,0.000000,3.397707
0.050000,23.645597,5.893400,0.370370,1.481481,2.962963,0.000000,3.374684
0.050000,23.569699,5.876414,0.448148,1.629630,2.962963,0.000000,3.348784
0.050000,23.486095,5.860092,0.533333,1.777778,2.962963,0.000000,3.319939
0.050000,23.394726,5.845115,0.625926,1.925926,2.962963,0.000000,3.288120
0.050000,23.295564,5.832234,0.725926,2.074074,2.962963,0.000000,3.253355
0.050000,23.188627,5.822263,0.833333,2.222222,2.962963,0.000000,3.215750
0.050000,23.073987,5.816063,0.948148,2.370370,2.962963,-0.000000,3.175508
0.050000,22.951784,5.814523,1.070370,2.518519,2.962963,0.000000,3.132950
0.050000,22.822227,5.818532,1.200000,2.666667,2.962963,-0.000000,3.088524
0.050000,22.685598,5.828943,1.337037,2.814815,2.962963,0.000000,3.042805
0.050000,22.542242,5.846539,1.481481,2.962963,2.962963,-0.000000,2.996477
0.050000,22.392552,5.871993,1.633333,3.111111,2.962963,0.000000,2.950310
0.050000,22.236945,5.905838,1.792593,3.259259,2.962963,-0.000000,2.905116
0.050000,22.075830,5.948444,1.959259,3.407407,2.962963,0.000000,2.861702
0.050000,21.909579,6.000002,2.133333,3.555556,2.962963,-0.000000,2.820835
0.050000,21.738496,6.060519,2.314815,3.703704,2.962963,0.000000,2.783209
0.050000,21.562792,6.129828,2.503704,3.851852,2.962963,-0.000000,2.749434
0.050000,21.382563,6.207591,2.700000,4.000000,2.962963,0.000000,2.720036
0.050000,21.201119,6.291711,2.900000,4.000000,0.000000,-59.259259,2.695873
0.050000,21.021509,6.379682,3.100000,4.000000,0.000000,0.000000,2.677343
0.050000,20.843309,6.470480,3.300000,4.000000,0.000000,0.000000,2.664252
0.050000,20.666066,6.563133,3.500000,4.000000,0.000000,0.000000,2.656451
0.050000,20.490014,6.656330,3.699198,3.967931,-0.641370,-12.827410,2.653844
0.050000,20.317952,6.747435,3.893891,3.819783,-2.962963,-46.431849,2.656242
0.050000,20.152027,6.834294,4.081177,3.671635,-2.962963,0.000000,2.663189
0.050000,19.991920,6.916279,4.261055,3.523487,-2.962963,-0.000000,2.674215
0.050000,19.837408,6.992905,4.433525,3.375339,-2.962963,0.000000,2.688891
0.050000,19.688355,7.063817,4.598589,3.227191,-2.962963,-0.000000,2.706809
0.050000,19.544708,7.128778,4.756244,3.079043,-2.962963,0.000000,2.727568
0.050000,19.406482,7.187661,4.906493,2.930894,-2.962963,-0.000000,2.750763
0.050000,19.273754,7.240441,5.049334,2.782746,-2.962963,0.000000,2.775976
0.050000,19.146650,7.287191,5.184767,2.634598,-2.962963,-0.000000,2.802777
0.050000,19.025332,7.328076,5.312794,2.486450,-2.962963,0.000000,2.830722
0.050000,18.909988,7.363344,5.433412,2.338302,-2.962963,-0.000000,2.859360
0.050000,18.800821,7.393317,5.546624,2.190154,-2.962963,0.000000,2.888244
0.050000,18.698031,7.418377,5.652428,2.042006,-2.962963,-0.000000,2.916939
0.050000,18.601814,7.438957,5.750824,1.893857,-2.962963,0.000000,2.945035
0.050000,18.512348,7.455522,5.841814,1.745709,-2.962963,0.000000,2.972154
0.050000,18.429792,7.468558,5.925395,1.597561,-2.962963,0.000000,2.997961
0.050000,18.354278,7.478552,6.001570,1.449413,-2.962963,0.000000,3.022164
0.050000,18.285915,7.485984,6.070337,1.301265,-2.962963,0.000000,3.044521
0.050000,18.224788,7.491312,6.131696,1.153117,-2.962963,0.000000,3.064834
0.050000,18.170960,7.494962,6.185648,1.004969,-2.962963,0.000000,3.082945
0.050000,18.124476,7.497324,6.232193,0.856820,-2.962963,0.000000,3.098737
0.050000,18.085365,7.498740,6.271330,0.708672,-2.962963,0.000000,3.112121
0.050000,18.053644,7.499502,6.303060,0.560524,-2.962963,0.000000,3.123033
0.050000,18.029324,7.499851,6.327383,0.412376,-2.962963,-0.000000,3.131432
0.050000,18.012410,7.499973,6.344298,0.264228,-2.962963,0.000000,3.137289
0.050000,18.002902,7.499999,6.353806,0.116080,-2.962963,0.000000,3.140586
0.050000,18.000000,7.500000,6.356707,0.000000,-2.321592,12.827410,3.141593
0.050000,18.000000,7.500000,6.356707,0.000000,0.000000,46.431849,3.141593
